lga_id,lga,govLvl,lgaType,govURL,govEmail,state_name,censusURL_2021,state,num_policies
LGA50080,Albany,lga,rural,https://www.albany.wa.gov.au/,staff@albany.wa.gov.au,Western Australia,https://www.abs.gov.au/census/find-census-data/quickstats/2021/LGA50080,WA,2
LGA70200,Alice Springs,lga,rural,https://alicesprings.nt.gov.au/,astc@astc.nt.gov.au,Northern Territory,https://www.abs.gov.au/census/find-census-data/quickstats/2021/LGA70200,NT,2
LGA20110,Alpine,lga,rural,https://www.alpineshire.vic.gov.au/,info@alpineshire.vic.gov.au,Victoria,https://www.abs.gov.au/census/find-census-data/quickstats/2021/LGA20110,VIC,1
LGA40250,Anangu Pitjantjatjara Yunkunytjatjara,lga,rural,https://anangu.com.au/,Officemanager@anangu.com.au,South Australia,https://www.abs.gov.au/census/find-census-data/quickstats/2021/LGA40250,SA,1
LGA20260,Ararat,lga,rural,https://www.ararat.vic.gov.au/,council@ararat.vic.gov.au,Victoria,https://www.abs.gov.au/census/find-census-data/quickstats/2021/LGA20260,VIC,1
LGA10180,Armidale Regional,lga,rural,https://www.armidaleregional.nsw.gov.au/,council@armidale.nsw.gov.au,New South Wales,https://www.abs.gov.au/census/find-census-data/quickstats/2021/LGA10180,NSW,1
LGA50250,Ashburton,lga,rural,https://www.ashburton.wa.gov.au/,soa@ashburton.wa.gov.au,Western Australia,https://www.abs.gov.au/census/find-census-data/quickstats/2021/LGA50250,WA,1
LGA50280,Augusta-Margaret River,lga,rural,https://www.amrshire.wa.gov.au/,amrshire@amrshire.wa.gov.au,Western Australia,https://www.abs.gov.au/census/find-census-data/quickstats/2021/LGA50280,WA,2
LGA10300,Balranald,lga,rural,https://balranald.nsw.gov.au/,council@balranald.nsw.gov.au,New South Wales,https://www.abs.gov.au/census/find-census-data/quickstats/2021/LGA10300,NSW,1
LGA30370,Banana,lga,rural,https://www.banana.qld.gov.au/,enquiries@banana.qld.gov.au,Queensland,https://www.abs.gov.au/census/find-census-data/quickstats/2021/LGA30370,QLD,1
LGA30410,Barcaldine,lga,rural,https://www.barcaldinerc.qld.gov.au/,council@barc.qld.gov.au,Queensland,https://www.abs.gov.au/census/find-census-data/quickstats/2021/LGA30410,QLD,1
