lga,policyName,policyURL,pdf_path,lga_id,policy_id,num_page
Albany,City of Albany Climate Change Action Declaration,https://www.albany.wa.gov.au/documents/2000/city-of-albany-climate-change-action-declaration,lga_CityofAlbanyCouncil_20230829_CityofAlbanyClimateChangeActionDeclaration.pdf,LGA50080,LGA50080_1,1
Albany,Corporate Power Plan 2023-2028,https://www.albany.wa.gov.au/documents/13749/corporate-power-plan-2023-2028,lga_CityofAlbanyCouncil_20230829_CorporatePowerPlan2023-2028.pdf,LGA50080,LGA50080_2,19
Alice Springs,Climate and Environment Policy,https://assets-astc.s3-ap-southeast-2.amazonaws.com/files/Climate-and-Environment-Policy-ASTC.pdf,lga_AliceSpringsTownCouncil_20230829_ClimateandEnvironmentPolicy.pdf,LGA70200,LGA70200_1,3
Alice Springs,Alice Springs Town Council Climate Action Plan,https://assets-astc.s3-ap-southeast-2.amazonaws.com/files/files/documents/Climate%20Action%20Plan%20Final.pdf,lga_AliceSpringsTownCouncil_20230829_AliceSpringsTownCouncilClimateActionPlan.pdf,LGA70200,LGA70200_2,28
Alpine,ASC Climate Action Plan 2021-2024,https://www.alpineshire.vic.gov.au/sites/default/files/resources/ASC%20Climate%20Action%20Plan.pdf,lga_AlpineShireCouncil_20230829_ASCClimateActionPlan2021-2024.pdf,LGA20110,LGA20110_1,27
Anangu Pitjantjatjara Yunkunytjatjara,APY Strategic Plan 2020-2025 NCCP,https://anangu.com.au/apy-information/development-and-planning/1071-settled-apy-strategic-plan-2020-2025/file,lga_AnanguPitjantjatjaraYunkunytjatjara_20230829_APYStrategicPlan2020-2025NCCP.pdf,LGA40250,LGA40250_1,1
Ararat,Asset Management Policy Feb 2011 ,https://www.ararat.vic.gov.au/sites/default/files/2022-11/Asset%20Management%20Policy%20Feb%202011.pdf,lga_AraratRuralCityCouncil_20230829_AssetManagementPolicyFeb2011NCCP.pdf,LGA20260,LGA20260_1,6
Armidale Regional,A Framework for Climate Emergency,https://www.armidaleregional.nsw.gov.au/ArticleDocuments/1136/AI%202021%2002335%20%20CEWG%20Report%20-%2026oct2020-V5-1.pdf.aspx,lga_ArmidaleRegionalCouncil_20230829_AFrameworkforClimateEmergency.pdf,LGA10180,LGA10180_1,60
Ashburton,Strategic Community Plan NCCP,https://www.ashburton.wa.gov.au/Profiles/ashburton/Assets/ClientData/ASH12448_Shire-of-Ashburton_SCP_V4_5_LR_SPREADS.pdf,lga_ShireofAshburton_20230829_StrategicCommunityPlanNCCP.pdf,LGA50250,LGA50250_1,15
Augusta-Margaret River,Climate Action Plan 2020-2030,https://www.amrshire.wa.gov.au/getmedia/6307e69f-7f77-42d3-a47e-c3051f0bc92b/Climate-Action-Plan-2020-2030.pdf,lga_ShireofAugustaMargaretRiver_20230829_ClimateActionPlan2020-2030.pdf,LGA50280,LGA50280_1,64
