Area Code: 2016,censusURL_2016,censusURL_2021,sal_id,suburb,postcode,state,state_name,type,lga,statistic_area,elevation,sqkm,lat,lng,timezone,govLvl
SSC10983,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC10983,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL10983,SAL10983,Colo,2756,NSW,New South Wales,Rural locality,Hawkesbury,Greater Sydney,47,6.903,-33.41666,150.80587,Australia/Sydney,state suburbs
SSC11297,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11297,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL11300,SAL11300,Duck Creek,2469,NSW,New South Wales,Rural locality,Kyogle,Rest of NSW,398,80.39,-28.61765,152.66952,Australia/Sydney,state suburbs
SSC14023,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC14023,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL14041,SAL14041,Upper Duck Creek,2469,NSW,New South Wales,Rural locality,Kyogle,Rest of NSW,277,51.531,-28.52233,152.69588,Australia/Sydney,state suburbs
SSC11305,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11305,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11308,SAL11308,Dumaresq,2350,NSW,New South Wales,Rural locality,Armidale Regional,Rest of NSW,1139,127.372,-30.43302,151.55409,Australia/Sydney,state suburbs
SSC13075,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13075,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL13086,SAL13086,Old Erowal Bay,2540,NSW,New South Wales,Urban locality,Shoalhaven,Rest of NSW,13,0.793,-35.08832,150.64933,Australia/Sydney,state suburbs
SSC11030,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11030,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL11030,SAL11030,Cooleys Creek,2729,NSW,New South Wales,Rural locality,Snowy Valleys,Rest of NSW,475,5.729,-35.34206,148.08672,Australia/Sydney,state suburbs
SSC11563,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11563,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11566,SAL11566,Freemans,2259,NSW,New South Wales,Rural locality,Central Coast,Greater Sydney,31,2.243,-33.19698,151.59358,Australia/Sydney,state suburbs
SSC11574,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11574,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11577,SAL11577,Fullerton,2583,NSW,New South Wales,Rural locality,Upper Lachlan Shire,Rest of NSW,901,204.371,-34.15406,149.55048,Australia/Sydney,state suburbs
SSC11779,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11779,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11785,SAL11785,Greta Main,2325,NSW,New South Wales,Rural locality,Cessnock,Rest of NSW,149,3.003,-32.88848,151.28436,Australia/Sydney,state suburbs
SSC11780,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11780,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11786,SAL11786,Grevillia,2474,NSW,New South Wales,Rural locality,Kyogle,Rest of NSW,281,22.533,-28.44443,152.81557,Australia/Sydney,state suburbs
SSC11940,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11940,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11947,SAL11947,Horseshoe Creek,2474,NSW,New South Wales,Rural locality,Kyogle,Rest of NSW,126,15.913,-28.5379,153.03546,Australia/Sydney,state suburbs
SSC14031,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC14031,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL14049,SAL14049,Upper Kangaroo Valley,2577,NSW,New South Wales,Rural locality,Kiama,Rest of NSW,249,11.64,-34.64497,150.62209,Australia/Sydney,state suburbs
SSC14032,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC14032,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL14050,SAL14050,Upper Karuah River,2415,NSW,New South Wales,Rural locality,Mid-Coast,Rest of NSW,574,180.888,-32.17064,151.73825,Australia/Sydney,state suburbs
SSC12198,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC12198,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL12207,SAL12207,Kosciuszko,2627,NSW,New South Wales,Rural locality,Snowy Valleys,Rest of NSW,1440,128.295,-36.48354,148.20442,Australia/Sydney,state suburbs
SSC10024,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC10024,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL10024,SAL10024,Albert,2873,NSW,New South Wales,Rural locality,Lachlan,Rest of NSW,241,690.58,-32.38077,147.4763,Australia/Sydney,state suburbs
SSC40728,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC40728,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL40734,SAL40734,Lake Albert,5259,SA,South Australia,Rural locality,The Coorong,Rest of SA,0,179.376,-35.62314,139.27457,Australia/Adelaide,state suburbs
SSC11927,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11927,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11934,SAL11934,Holts Flat,2631,NSW,New South Wales,Rural locality,Snowy Monaro Regional,Rest of NSW,1097,34.787,-36.61625,149.2641,Australia/Sydney,state suburbs
SSC10875,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC10875,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL10874,SAL10874,Central Macdonald,2775,NSW,New South Wales,Rural locality,Hawkesbury,Greater Sydney,61,12.927,-33.33581,150.97324,Australia/Sydney,state suburbs
SSC14034,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC14034,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL14052,SAL14052,Upper Macdonald,2775,NSW,New South Wales,Rural locality,Hawkesbury,Greater Sydney,191,55.608,-33.25468,150.9118,Australia/Sydney,state suburbs
SSC12427,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC12427,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL12436,SAL12436,Lynwood,2477,NSW,New South Wales,Rural locality,Ballina,Rest of NSW,164,8.044,-28.87076,153.44272,Australia/Sydney,state suburbs
SSC12450,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC12450,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL12459,SAL12459,Maitland Bar,2850,NSW,New South Wales,Rural locality,Mid-Western Regional,Rest of NSW,730,21.955,-32.72874,149.4313,Australia/Sydney,state suburbs
SSC13079,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13079,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL13090,SAL13090,Old Mill,2369,NSW,New South Wales,Rural locality,Inverell,Rest of NSW,847,3.246,-29.89832,151.19938,Australia/Sydney,state suburbs
SSC12679,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC12679,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL12690,SAL12690,Mongogarie,2470,NSW,New South Wales,Rural locality,Richmond Valley,Rest of NSW,91,67.982,-28.94461,152.90371,Australia/Sydney,state suburbs
SSC14038,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC14038,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL14056,SAL14056,Upper Mongogarie,2470,NSW,New South Wales,Rural locality,Richmond Valley,Rest of NSW,99,97.704,-28.96308,152.80753,Australia/Sydney,state suburbs
SSC12446,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC12446,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL12455,SAL12455,Main Creek,2420,NSW,New South Wales,Rural locality,Dungog,Rest of NSW,194,75.946,-32.30582,151.79606,Australia/Sydney,state suburbs
SSC12490,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC12490,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL12500,SAL12500,Mares Run,2422,NSW,New South Wales,Rural locality,Mid-Coast,Rest of NSW,733,56.312,-31.64302,151.80067,Australia/Sydney,state suburbs
SSC12866,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC12866,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL12877,SAL12877,Murwillumbah,2484,NSW,New South Wales,Urban locality,Tweed,Rest of NSW,30,12.004,-28.32976,153.38212,Australia/Sydney,state suburbs
SSC21901,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21901,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21913,SAL21913,Nelse,3699,VIC,Victoria,Rural locality,East Gippsland,Rest of VIC,1522,223.097,-36.83378,147.35529,Australia/Melbourne,state suburbs
SSC31833,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31833,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL12953,SAL12953,New Mexico,4728,QLD,Queensland,Rural locality,Barcaldine,Rest of QLD,440,2840.877,-23.91337,146.16915,Australia/Brisbane,state suburbs
SSC32209,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC32209,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL32190,SAL32190,Norville,4670,QLD,Queensland,Urban locality,Bundaberg,Rest of QLD,27,3.623,-24.89233,152.34339,Australia/Brisbane,state suburbs
SSC10522,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC10522,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL10520,SAL10520,Bourke,2840,NSW,New South Wales,Urban locality,Bourke,Rest of NSW,109,3882.792,-30.19225,145.99276,Australia/Sydney,state suburbs
SSC12985,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC12985,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL12995,SAL12995,North Bourke,2840,NSW,New South Wales,Rural locality,Bourke,Rest of NSW,116,4233.877,-29.75361,146.13125,Australia/Sydney,state suburbs
SSC32251,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC32251,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL32232,SAL32232,Orient,4850,QLD,Queensland,Rural locality,Hinchinbrook,Rest of QLD,4,82.837,-18.79932,146.23438,Australia/Brisbane,state suburbs
SSC13107,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13107,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13118,SAL13118,Oxley,2711,NSW,New South Wales,Rural locality,Balranald,Rest of NSW,76,2872.398,-34.04068,144.07173,Australia/Sydney,state suburbs
SSC13208,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13208,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13220,SAL13220,Pimlico Island,2478,NSW,New South Wales,Rural locality,Ballina,Rest of NSW,2,0.738,-28.91774,153.49456,Australia/Sydney,state suburbs
SSC13335,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13335,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13348,SAL13348,Red Rocks,2577,NSW,New South Wales,Rural locality,Shoalhaven,Rest of NSW,549,9.192,-34.76975,150.52137,Australia/Sydney,state suburbs
SSC13422,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13422,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL13437,SAL13437,Rouchel,2336,NSW,New South Wales,Rural locality,Upper Hunter Shire,Rest of NSW,236,72.94,-32.14635,150.98626,Australia/Sydney,state suburbs
SSC13464,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13464,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL13479,SAL13479,Salisbury,2420,NSW,New South Wales,Rural locality,Dungog,Rest of NSW,331,103.769,-32.16255,151.53747,Australia/Sydney,state suburbs
SSC13477,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13477,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13492,SAL13492,Sandon,2463,NSW,New South Wales,Rural locality,Clarence Valley,Rest of NSW,30,5.65,-29.68673,153.31233,Australia/Sydney,state suburbs
SSC13841,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13841,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13857,SAL13857,The Sandon,2463,NSW,New South Wales,Rural locality,Clarence Valley,Rest of NSW,9,20.353,-29.66652,153.29733,Australia/Sydney,state suburbs
SSC13490,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13490,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13505,SAL13505,Sapphire,2360,NSW,New South Wales,Rural locality,Inverell,Rest of NSW,778,103.726,-29.67061,151.32688,Australia/Sydney,state suburbs
SSC13494,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13494,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13509,SAL13509,Saumarez,2350,NSW,New South Wales,Rural locality,Uralla,Rest of NSW,1030,26.918,-30.57327,151.58929,Australia/Sydney,state suburbs
SSC13495,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13495,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13510,SAL13510,Saumarez Ponds,2350,NSW,New South Wales,Rural locality,Uralla,Rest of NSW,1078,28.418,-30.49903,151.55272,Australia/Sydney,state suburbs
