suburb,state,type,lga,num_page_by_lga,policy_names_by_lga
Colo,NSW,Rural locality,Hawkesbury,471,"['Adopted-Hawkesbury-Rural-Lands-Strategy', 'Flood Policy 2020 - Adopted 29 June 2021 - PEL0006Z', 'HCC-Urban-Greening-Strategy-Adopted', 'HCC-Environmental-Sustainability-Strategy-2023', 'Waste-Strategy-Draft-2022-pages']"
Duck Creek,NSW,Rural locality,Kyogle,43,['Sustainable Councils Communities Action Plan_Kyogle Council Adopted-June-2019']
Upper Duck Creek,NSW,Rural locality,Kyogle,43,['Sustainable Councils Communities Action Plan_Kyogle Council Adopted-June-2019']
Dumaresq,NSW,Rural locality,Armidale Regional,60,['A Framework for Climate Emergency']
Old Erowal Bay,NSW,Urban locality,Shoalhaven,5,['Sustainability and Climate Policy']
Cooleys Creek,NSW,Rural locality,Snowy Valleys,126,"['2023-24-delivery-program-and-operational-plan', 'zero-waste-strategy-2019-2030-svc-eng-pln-015-01-adopted-24102019']"
Freemans,NSW,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Fullerton,NSW,Rural locality,Upper Lachlan Shire,135,['Annual-Report-2021-2022-NCCP']
Greta Main,NSW,Rural locality,Cessnock,68,"['2023-CCC-Climate-Change-Resilience-Plan', 'Climate-Change-Policy']"
Grevillia,NSW,Rural locality,Kyogle,43,['Sustainable Councils Communities Action Plan_Kyogle Council Adopted-June-2019']
Horseshoe Creek,NSW,Rural locality,Kyogle,43,['Sustainable Councils Communities Action Plan_Kyogle Council Adopted-June-2019']
Upper Kangaroo Valley,NSW,Rural locality,Kiama,189,"['KMC-Corporate-Emissions-Reduction-Plan', 'Climate-Change-Adaptation-Strategy-and-Action-Plan-July-2009-final', 'Illawarra-Biodiversity-Strategy-Volume-1', 'Kiama-Municipal-Council-Community-Strategic-Plan-CSP-2022-2032']"
Upper Karuah River,NSW,Rural locality,Mid-Coast,201,"['Climate Change Policy 1', 'Climate Action Strategy Final Report -v8']"
Kosciuszko,NSW,Rural locality,Snowy Valleys,126,"['2023-24-delivery-program-and-operational-plan', 'zero-waste-strategy-2019-2030-svc-eng-pln-015-01-adopted-24102019']"
Albert,NSW,Rural locality,Lachlan,18,['Energy Sustainability Plan']
Old Mill,NSW,Rural locality,Inverell,12,['ISC Environmental Sustainability Plan']
Holts Flat,NSW,Rural locality,Snowy Monaro Regional,104,['annual-report-2021-2022NCCP']
Central Macdonald,NSW,Rural locality,Hawkesbury,471,"['Adopted-Hawkesbury-Rural-Lands-Strategy', 'Flood Policy 2020 - Adopted 29 June 2021 - PEL0006Z', 'HCC-Urban-Greening-Strategy-Adopted', 'HCC-Environmental-Sustainability-Strategy-2023', 'Waste-Strategy-Draft-2022-pages']"
Upper Macdonald,NSW,Rural locality,Hawkesbury,471,"['Adopted-Hawkesbury-Rural-Lands-Strategy', 'Flood Policy 2020 - Adopted 29 June 2021 - PEL0006Z', 'HCC-Urban-Greening-Strategy-Adopted', 'HCC-Environmental-Sustainability-Strategy-2023', 'Waste-Strategy-Draft-2022-pages']"
Lynwood,NSW,Rural locality,Ballina,47,"['Climate Change Policy', 'Community Climate Change Survey Report July 2021']"
